Sample;M;intensity
brain1;2528;8036142
brain1;2531.8;49996329
brain1;2532.9;5028610
brain1;2533.9;58099196
brain1;2548.8;68070770
brain1;2565.9;17886898
brain1;2572.9;115145268
brain1;2573.9;34879679
brain1;2574.9;301229746
brain1;2576;71065869
brain1;2590.9;27132205
brain1;2591;229717697
brain1;2592;323213075
brain1;2593;422857854
brain1;2597.9;6641075
brain1;2608;114989250
brain1;2609;27889689
brain1;2610;94880899
brain1;2615;10840036
brain1;2616;20424775
brain1;2621.9;14359965
brain1;2629;10125710
brain1;2632;187040143
brain1;2633;786160828
brain1;2634;60326350
brain1;2645.8;5706620
brain1;2648;8255710
brain1;2649;37473733
brain1;2650;78433501
brain1;2654.9;15252051
brain1;2655;10412941
brain1;2660;15321996
brain1;2660.9;41767303
brain1;2661;15295997
brain1;2662;44155600
brain1;2663;555589528
brain1;2672.9;10529963
brain1;2678;9084025
brain1;2680;7032039
brain1;2684.9;10563697
brain1;2691;5822348
brain1;2696;8939766
brain1;2702;13523681
brain1;2708;8485008
brain1;2710.9;8667509
brain1;2712.9;15303965
brain1;2720;12383987
brain1;2721;94126914
brain1;2737;565179104
brain1;2738;1420446343
brain1;2739;13658025
brain1;2742.9;30171790
brain1;2752;13571243
brain1;2753;82742040
brain1;2754;37665267
brain1;2755;183191931
brain1;2759.9;12120240
brain1;2760;27546587
brain1;2775;20317040
brain1;2776;34859492
brain1;2777;34710728
brain1;2778;272667011
brain1;2779;8543139
brain1;2783.1;12193344
brain1;2792;13067952
brain1;2793;11238489
brain1;2794;17302408
brain1;2795;143894132
brain1;2796;73844543
brain1;2796.1;13251669
brain1;2815;21718652
brain1;2818;12639988
brain1;2833;5247412
brain1;2835;8741835
brain1;2836.1;68849687
brain1;2866;57116210
brain1;2882;76300962
brain1;2882.1;11921132
brain1;2883.1;662779928
brain1;2899.1;47165570
brain1;2900.1;203249656
brain1;2901.1;15044291
brain1;2922.1;9969395
brain1;2924.1;58363831
brain1;2925.1;65149150
brain1;2927.1;7957299
brain1;2928.1;9545222
brain1;2930.1;11173653
brain1;2938.1;18049338
brain1;2939.1;92561393
brain1;2940.1;198589963
brain1;2941.1;396245431
brain1;2952.1;5605341
brain1;2953;5817729
brain1;2954;13502969
brain1;2954.1;211447820
brain1;2956.1;57259284
brain1;2957.1;14317126
brain1;2958.1;67808640
brain1;2960.1;42486354
